Time,Population
0,10
1,10.2
2,10.404
3,10.6121
4,10.8243
5,11.0408
6,11.2616
7,11.4869
8,11.7166
9,11.9509
10,12.1899
11,12.4337
12,12.6824
13,12.9361
14,13.1948
15,13.4587
16,13.7279
17,14.0024
18,14.2825
19,14.5681
20,14.8595
21,15.1567
22,15.4598
23,15.769
24,16.0844
25,16.4061
26,16.7342
27,17.0689
28,17.4102
29,17.7584
30,18.1136
31,18.4759
32,18.8454
33,19.2223
34,19.6068
35,19.9989
36,20.3989
37,20.8069
38,21.223
39,21.6474
40,22.0804
41,22.522
42,22.9724
43,23.4319
44,23.9005
45,24.3785
46,24.8661
47,25.3634
48,25.8707
49,26.3881
50,26.9159
51,27.4542
52,28.0033
53,28.5633
54,29.1346
55,29.7173
56,30.3117
57,30.9179
58,31.5362
59,32.167
60,32.8103
61,33.4665
62,34.1358
63,34.8186
64,35.5149
65,36.2252
66,36.9497
67,37.6887
68,38.4425
69,39.2114
70,39.9956
71,40.7955
72,41.6114
73,42.4436
74,43.2925
75,44.1584
76,45.0415
77,45.9424
78,46.8612
79,47.7984
80,48.7544
81,49.7295
82,50.7241
83,51.7386
84,52.7733
85,53.8288
86,54.9054
87,56.0035
88,57.1235
89,58.266
90,59.4313
91,60.62
92,61.8324
93,63.069
94,64.3304
95,65.617
96,66.9293
97,68.2679
98,69.6333
99,71.0259
100,72.4465
101,73.8954
102,69.9128
103,66.4232
104,63.3396
105,60.5945
106,58.1347
107,55.9178
108,53.9093
109,52.0813
110,50.4105
111,48.8775
112,47.466
113,46.1623
114,44.9546
115,43.8328
116,42.7881
117,41.813
118,40.901
119,40.0461
120,39.2433
121,38.4882
122,37.7766
123,37.1051
124,36.4704
125,35.8697
126,35.3004
127,34.7603
128,34.2473
129,33.7593
130,33.2948
131,32.8522
132,32.43
133,32.0269
134,31.6417
135,31.2733
136,30.9208
137,30.5831
138,30.2594
139,29.949
140,29.651
141,29.3648
142,29.0898
143,28.8254
144,28.571
145,28.3261
146,28.0903
147,27.863
148,27.644
149,27.4326
150,27.2287
151,27.0319
152,26.8418
153,26.6582
154,26.4807
155,26.3091
156,26.1431
157,25.9825
158,25.827
159,25.6766
160,25.5308
161,25.3896
162,25.2528
163,25.1201
164,24.9915
165,24.8667
166,24.7457
167,24.6283
168,24.5143
169,24.4036
170,24.2962
171,24.1918
172,24.0904
173,23.9918
174,23.8961
175,23.803
176,23.7125
177,23.6244
178,23.5388
179,23.4555
180,23.3744
181,23.2956
182,23.2188
183,23.1441
184,23.0713
185,23.0004
186,22.9314
187,22.8642
188,22.7987
189,22.7349
190,22.6727
191,22.6121
192,22.5531
193,22.4955
194,22.4393
195,22.3846
196,22.3312
197,22.2792
198,22.2284
199,22.1789
200,22.1305
201,22.0834
202,22.0374
203,21.9925
204,21.9487
205,21.9059
206,21.8641
207,21.8234
208,21.7836
209,21.7447
210,21.7068
211,21.6697
212,21.6336
213,21.5982
214,21.5637
215,21.53
216,21.497
217,21.4649
218,21.4334
219,21.4027
220,21.3727
221,21.3433
222,21.3147
223,21.2866
224,21.2593
225,21.2325
226,21.2063
227,21.1807
228,21.1557
229,21.1313
230,21.1074
231,21.084
232,21.0611
233,21.0388
234,21.0169
235,20.9956
236,20.9747
237,20.9542
238,20.9342
239,20.9147
240,20.8955
241,20.8768
242,20.8585
243,20.8406
244,20.8231
245,20.806
246,20.7892
247,20.7728
248,20.7567
249,20.741
250,20.7257
251,20.7106
252,20.6959
253,20.6815
254,20.6674
255,20.6536
256,20.6401
257,20.6269
258,20.614
259,20.6013
260,20.5889
261,20.5768
262,20.5649
263,20.5533
264,20.5419
265,20.5308
266,20.5199
267,20.5092
268,20.4988
269,20.4886
270,20.4786
271,20.4688
272,20.4592
273,20.4498
274,20.4406
275,20.4316
276,20.4227
277,20.4141
278,20.4057
279,20.3974
280,20.3893
281,20.3813
282,20.3736
283,20.366
284,20.3585
285,20.3512
286,20.3441
287,20.3371
288,20.3302
289,20.3235
290,20.3169
291,20.3105
292,20.3042
293,20.298
294,20.2919
295,20.286
296,20.2802
297,20.2745
298,20.269
299,20.2635
300,20.2582
301,20.2529
302,20.2478
303,20.2428
304,20.2379
305,20.2331
306,20.2284
307,20.2237
308,20.2192
309,20.2148
310,20.2104
311,20.2062
312,20.202
313,20.1979
314,20.1939
315,20.19
316,20.1862
317,20.1824
318,20.1788
319,20.1751
320,20.1716
321,20.1681
322,20.1648
323,20.1614
324,20.1582
325,20.155
326,20.1519
327,20.1488
328,20.1458
329,20.1429
330,20.14
331,20.1372
332,20.1344
333,20.1317
334,20.1291
335,20.1265
336,20.1239
337,20.1214
338,20.119
339,20.1166
340,20.1142
341,20.1119
342,20.1097
343,20.1075
344,20.1053
345,20.1032
346,20.1011
347,20.0991
348,20.0971
349,20.0952
350,20.0932
351,20.0914
352,20.0895
353,20.0877
354,20.086
355,20.0842
356,20.0826
357,20.0809
358,20.0793
359,20.0777
360,20.0761
361,20.0746
362,20.0731
363,20.0716
364,20.0702
365,20.0688
366,20.0674
367,20.066
368,20.0647
369,20.0634
370,20.0621
371,20.0609
372,20.0597
373,20.0585
374,20.0573
375,20.0562
376,20.055
377,20.0539
378,20.0528
379,20.0518
380,20.0508
381,20.0497
382,20.0487
383,20.0478
384,20.0468
385,20.0459
386,20.0449
387,20.044
388,20.0432
389,20.0423
390,20.0414
391,20.0406
392,20.0398
393,20.039
394,20.0382
395,20.0375
396,20.0367
397,20.036
398,20.0353
399,20.0345
400,20.0339
401,20.0332
402,20.0325
403,20.0319
404,20.0312
405,20.0306
406,20.03
407,20.0294
408,20.0288
409,20.0282
410,20.0277
411,20.0271
412,20.0266
413,20.026
414,20.0255
415,20.025
416,20.0245
417,20.024
418,20.0235
419,20.023
420,20.0226
421,20.0221
422,20.0217
423,20.0213
424,20.0208
425,20.0204
426,20.02
427,20.0196
428,20.0192
429,20.0188
430,20.0185
431,20.0181
432,20.0177
433,20.0174
434,20.017
435,20.0167
436,20.0163
437,20.016
438,20.0157
439,20.0154
440,20.0151
441,20.0148
442,20.0145
443,20.0142
444,20.0139
445,20.0136
446,20.0134
447,20.0131
448,20.0128
449,20.0126
450,20.0123
451,20.0121
452,20.0118
453,20.0116
454,20.0114
455,20.0111
456,20.0109
457,20.0107
458,20.0105
459,20.0103
460,20.0101
461,20.0099
462,20.0097
463,20.0095
464,20.0093
465,20.0091
466,20.0089
467,20.0087
468,20.0086
469,20.0084
470,20.0082
471,20.0081
472,20.0079
473,20.0077
474,20.0076
475,20.0074
476,20.0073
477,20.0071
478,20.007
479,20.0069
480,20.0067
481,20.0066
482,20.0064
483,20.0063
484,20.0062
485,20.0061
486,20.0059
487,20.0058
488,20.0057
489,20.0056
490,20.0055
491,20.0054
492,20.0053
493,20.0052
494,20.0051
495,20.005
496,20.0049
497,20.0048
498,20.0047
499,20.0046
500,20.0045
501,20.0044
502,20.0043
503,20.0042
504,20.0041
505,20.0041
506,20.004
507,20.0039
508,20.0038
509,20.0037
510,20.0037
511,20.0036
512,20.0035
513,20.0034
514,20.0034
515,20.0033
516,20.0032
517,20.0032
518,20.0031
519,20.0031
520,20.003
521,20.0029
522,20.0029
523,20.0028
524,20.0028
525,20.0027
526,20.0027
527,20.0026
528,20.0025
529,20.0025
530,20.0024
531,20.0024
532,20.0023
533,20.0023
534,20.0023
535,20.0022
536,20.0022
537,20.0021
538,20.0021
539,20.002
540,20.002
541,20.002
542,20.0019
543,20.0019
544,20.0018
545,20.0018
546,20.0018
547,20.0017
548,20.0017
549,20.0017
550,20.0016
551,20.0016
552,20.0016
553,20.0015
554,20.0015
555,20.0015
556,20.0014
557,20.0014
558,20.0014
559,20.0014
560,20.0013
561,20.0013
562,20.0013
563,20.0013
564,20.0012
565,20.0012
566,20.0012
567,20.0012
568,20.0011
569,20.0011
570,20.0011
571,20.0011
572,20.001
573,20.001
574,20.001
575,20.001
576,20.001
577,20.0009
578,20.0009
579,20.0009
580,20.0009
581,20.0009
582,20.0009
583,20.0008
584,20.0008
585,20.0008
586,20.0008
587,20.0008
588,20.0008
589,20.0007
590,20.0007
591,20.0007
592,20.0007
593,20.0007
594,20.0007
595,20.0007
596,20.0006
597,20.0006
598,20.0006
599,20.0006
600,20.0006
601,20.0006
602,20.0006
603,20.0006
604,20.0005
605,20.0005
606,20.0005
607,20.0005
608,20.0005
609,20.0005
610,20.0005
611,20.0005
612,20.0005
613,20.0005
614,20.0004
615,20.0004
616,20.0004
617,20.0004
618,20.0004
619,20.0004
620,20.0004
621,20.0004
622,20.0004
623,20.0004
624,20.0004
625,20.0004
626,20.0004
627,20.0003
628,20.0003
629,20.0003
630,20.0003
631,20.0003
632,20.0003
633,20.0003
634,20.0003
635,20.0003
636,20.0003
637,20.0003
638,20.0003
639,20.0003
640,20.0003
641,20.0003
642,20.0003
643,20.0002
644,20.0002
645,20.0002
646,20.0002
647,20.0002
648,20.0002
649,20.0002
650,20.0002
651,20.0002
652,20.0002
653,20.0002
654,20.0002
655,20.0002
656,20.0002
657,20.0002
658,20.0002
659,20.0002
660,20.0002
661,20.0002
662,20.0002
663,20.0002
664,20.0002
665,20.0002
666,20.0002
667,20.0002
